code,species,type
ABU,Abutilon spp.,plant
ACAFRU,Acalypha fruticosa,plant
ACAROB,Acacia robusta,plant
ACASEN,Acacia senegal,plant
ACASEY,Acacia seyal,plant
ACATOR,Acacia tortilis,plant
ACAXAN,Acacia xanthophloea,plant
ACHASP,Achyranthes aspera,plant
ACIJUB,Acinonyx jubatus,carnivore
AEPMEL,Aepyceros melampus,herbivore
ALBHAR,Albizia harveyi,plant
ALBU,Albuca spp.,plant
ALCBUS,Alcelaphus buselaphus,herbivore
ALLRUB,Allophylus rubifolius,plant
ALOMAC,Aloe macrosiphon,plant
ALOSEC,Aloe secundiflora,plant
ANDGRE,Andropogon greenwayi,plant
ANDSCH,Andropogon schirensis,plant
ARI,Aristida spp.,plant
BALAEG,Balanites aegyptiaca,plant
BLEACA,Blepharis acanthodioides,plant
BOSAUG,Boscia augustifolia,plant
BOTINS,Bothriochloa insculpta,plant
BRASEM,Brachiaria semiundulata,plant
CANAUR,Canis aureus,carnivore
CANMES,Canis mesomelas,carnivore
CAPTOM,Capparis tomentosa,plant
CARCAR,Caracal caracal,carnivore
CECCIL,Pennisetum ciliare,plant
CHLGAY,Chloris gayana,plant
CHLPYC,Chloris pycnothrix,plant
CHLROX,Chloris roxburghiana,plant
CISQUA,Cissus quadrangularis,plant
CISROT,Cissus rotundifolia,plant
COMMEAFR,Commelina africana,plant
COMMER,Commiphora merkeri,plant
COMMIAFR,Commiphora trothae,plant
COMMOL,Combretum molle,plant
COMSCH,Commiphora schimperi,plant
CONTAU,Connochaetes taurinus,herbivore
COROVA,Cordia ovalis,plant
CROCRO,Crocuta crocuta,carnivore
CRODIC,Croton dichogamus,plant
CROMAC,Croton macrostachyus,plant
CROSPI,Crotalaria spinosa,plant
CYMEXC,Cymbopogon excavatus,plant
CYNDAC,Cynodon dactylon,plant
CYP,Cyperus spp.,plant
CYPH,Cyphostemma spp.,plant
DAMKOR,Damaliscus korrigum,herbivore
DIGDIA,Digitaria diagonalis,plant
DIGMAC,Digitaria macroblephara,plant
DIGMIL,Digitaria milanjiana,plant
DIGSCA,Digitaria scalarum,plant
DIGTER,Digitaria ternata,plant
DIGVEL,Digitaria velutina,plant
DIHAMP,Diheteropogon amplectens,plant
DINRET,Dinebra retroflexa,plant
DUOKIL,Duosperma kilimandscharica,plant
ECHHAP,Echinochloa haploclada,plant
EMICOC,Emilia coccinea,plant
EQUBUR,Equus quagga,herbivore
ERAASP,Eragrostis aspera,plant
ERACIL,Eragrostis cilianensis,plant
ERAEXA,Eragrostis exasperata,plant
ERATEN,Eragrostis tenuifolia,plant
ERINUB,Eriochloa nubica,plant
EUPCAN,Euphorbia candelabrum,plant
EUSPAS,Eustachys paspaloides,plant
FICGLU,Ficus glumosa,plant
FICING,Ficus ingens,plant
FICTHI,Ficus thonningii,plant
GAZGRA,Nanger granti,herbivore
GAZTHO,Eudorcas thomsonii,herbivore
GIRCAM,Giraffa camelopardalis,herbivore
GREBIC,Grewia bicolor,plant
GREFAL,Grewia fallax,plant
GRETRI,Grewia trichocarpa,plant
HARSCH,Harpachne schimperi,plant
HELSTE,Heliotropium steudneri,plant
HETBRU,Heterohyrax brucei,herbivore
HETCON,Heteropogon contortus,plant
HIB,Hibiscus spp.,plant
HIBLUN,Hibiscus lunariifolius,plant
HIPAMP,Hippopotamus amphibius,herbivore
HOSOPP,Hoslundia opposita,plant
HYPDIS,Hyperthelia dissoluta,plant
HYPFIL,Hyparrhenia filipendula,plant
HYPFOR,Hypoestes forskaolii,plant
HYPRUF,Hyparrhenia rufa,plant
IBO,Iboza spp.,plant
INDBAS,Indigofera basiflora,plant
INDHOC,Indigofera hochstetteri,plant
IPOOBS,Ipomoea obscura,plant
JAS,Jasminum spp.,plant
KAL,Kalanchoe spp.,plant
KEDFOE,Kedrostis foetidissima,plant
KIGAFR,Kigelia africana,plant
KOBELL,Kobus ellipsiprymnus,herbivore
KYLNER,Kyllinga nervosa,plant
LEPSER,Leptailurus serval,carnivore
LIPUKA,Lippia ukambensis,plant
LONERI,Lonchocarpus eriocalyx,plant
LOXAFR,Loxodonta africana,herbivore
LYCPIC,Lycaon pictus,carnivore
MADKIR,Madoqua kirkii,herbivore
MAETRI,Maerua cafra,plant
MICKUN,Microchloa kunthii,plant
OCI,Ocimum spp.,plant
OLE,Olea spp.,plant
OUROUR,Ourebia ourebi,herbivore
PANCOL,Panicum coloratum,plant
PANDEU,Panicum deustum,plant
PANLEO,Panthera leo,carnivore
PANMAX,Panicum maximum,plant
PANPAR,Panthera pardus,carnivore
PANREP,Panicum repens,plant
PAPANU,Papio anubis,herbivore
PAPCAP,Pappea capensis,plant
PAVASS,Pavetta assimilis,plant
PAVPAT,Pavonia patens,plant
PEDCAP,Pedetes capensis,herbivore
PELCAL,Pellaea calomelanos,plant
PENMEZ,Pennisetum mezianum,plant
PENSTR,Pennisetum stramineum,plant
PHAAET,Phacochoerus africanus,herbivore
PHRMAU,Phragmites mauritianus,plant
PHYSEP,Phyllanthus sepialis,plant
PROCAP,Procavia capensis,herbivore
PSIJAE,Psilolemma jaegeri,plant
PUPLAP,Pupalia lappacea,plant
REDRED,Redunca redunca,herbivore
RHAPUM,Rhabdomys pumilio,herbivore
RHOREV,Rhoicissus revoilii,plant
SARVER,Sarga versicolor,plant
SCLBIR,Sclerocarya birrea,plant
SENDID,Senna didymobotrya,plant
SENEHR,Sansevieria ehrenbergii,plant
SENSUF,Sansevieria suffruticosa,plant
SETPAL,Setaria pallidefusca,plant
SETSPH,Setaria sphacelata,plant
SID,Sida spp.,plant
SOLDEN,Solanum dennekense,plant
SOLINC,Solanum incanum,plant
SOLNIG,Solanum nigrum,plant
SPOFES,Sporobolus festivus,plant
SPOFIM,Sporobolus fimbriatus,plant
SPOIOC,Sporobolus ioclados,plant
SPOPEL,Sporobolus pellucidus,plant
SPOPYR,Sporobolus pyramidalis,plant
SPOSPI,Sporobolus spicatus,plant
SPOSTA,Sporobolus stapfianus,plant
SYNCAF,Syncerus caffer,herbivore
TAUORY,Taurotragus oryx,herbivore
THETRI,Themeda triandra,plant
TRASCR,Tragelaphus scriptus,herbivore
TRIEIC,Tricholaena teneriffae,plant
TURFIS,Turraea fischeri,plant
TYPCAP,Typha capensis,plant
XIMCAF,Ximenia caffra,plant
ZIZ,Ziziphus spp.,plant
